Middle layer Super Output Areas Code,Middle layer Super Output Areas,Household deprivation (6 categories) Code,Household deprivation (6 categories),Observation
E02002403,Leeds 074,4,Household is deprived in three dimensions,82
E02002403,Leeds 074,5,Household is deprived in four dimensions,2
E02002404,Leeds 075,-8,Does not apply,0
E02002404,Leeds 075,1,Household is not deprived in any dimension,2365
E02002404,Leeds 075,2,Household is deprived in one dimension,1777
E02002404,Leeds 075,3,Household is deprived in two dimensions,823
E02002404,Leeds 075,4,Household is deprived in three dimensions,268
E02002404,Leeds 075,5,Household is deprived in four dimensions,21
E02002405,Leeds 076,-8,Does not apply,0
E02002405,Leeds 076,1,Household is not deprived in any dimension,1970
E02002405,Leeds 076,2,Household is deprived in one dimension,1260
E02002405,Leeds 076,3,Household is deprived in two dimensions,465
E02002405,Leeds 076,4,Household is deprived in three dimensions,91
E02002405,Leeds 076,5,Household is deprived in four dimensions,2
E02002406,Leeds 077,-8,Does not apply,0
E02002406,Leeds 077,1,Household is not deprived in any dimension,1726
E02002406,Leeds 077,2,Household is deprived in one dimension,954
E02002406,Leeds 077,3,Household is deprived in two dimensions,296
E02002406,Leeds 077,4,Household is deprived in three dimensions,40
E02002406,Leeds 077,5,Household is deprived in four dimensions,0
E02002407,Leeds 078,-8,Does not apply,0
E02002407,Leeds 078,1,Household is not deprived in any dimension,983
E02002407,Leeds 078,2,Household is deprived in one dimension,956
E02002407,Leeds 078,3,Household is deprived in two dimensions,623
E02002407,Leeds 078,4,Household is deprived in three dimensions,274
E02002407,Leeds 078,5,Household is deprived in four dimensions,24
E02002408,Leeds 079,-8,Does not apply,0
E02002408,Leeds 079,1,Household is not deprived in any dimension,1736
E02002408,Leeds 079,2,Household is deprived in one dimension,1135
E02002408,Leeds 079,3,Household is deprived in two dimensions,446
E02002408,Leeds 079,4,Household is deprived in three dimensions,107
E02002408,Leeds 079,5,Household is deprived in four dimensions,6
E02002409,Leeds 080,-8,Does not apply,0
E02002409,Leeds 080,1,Household is not deprived in any dimension,1122
E02002409,Leeds 080,2,Household is deprived in one dimension,957
E02002409,Leeds 080,3,Household is deprived in two dimensions,440
E02002409,Leeds 080,4,Household is deprived in three dimensions,165
E02002409,Leeds 080,5,Household is deprived in four dimensions,10
E02002410,Leeds 081,-8,Does not apply,0
E02002410,Leeds 081,1,Household is not deprived in any dimension,1397
E02002410,Leeds 081,2,Household is deprived in one dimension,1071
E02002410,Leeds 081,3,Household is deprived in two dimensions,520
E02002410,Leeds 081,4,Household is deprived in three dimensions,159
E02002410,Leeds 081,5,Household is deprived in four dimensions,10
E02002411,Leeds 082,-8,Does not apply,0
E02002411,Leeds 082,1,Household is not deprived in any dimension,1736
E02002411,Leeds 082,2,Household is deprived in one dimension,1571
E02002411,Leeds 082,3,Household is deprived in two dimensions,721
E02002411,Leeds 082,4,Household is deprived in three dimensions,248
E02002411,Leeds 082,5,Household is deprived in four dimensions,33
E02002412,Leeds 083,-8,Does not apply,0
E02002412,Leeds 083,1,Household is not deprived in any dimension,1682
E02002412,Leeds 083,2,Household is deprived in one dimension,1031
E02002412,Leeds 083,3,Household is deprived in two dimensions,428
E02002412,Leeds 083,4,Household is deprived in three dimensions,104
E02002412,Leeds 083,5,Household is deprived in four dimensions,5
E02002414,Leeds 085,-8,Does not apply,0
E02002414,Leeds 085,1,Household is not deprived in any dimension,932
E02002414,Leeds 085,2,Household is deprived in one dimension,1022
E02002414,Leeds 085,3,Household is deprived in two dimensions,598
E02002414,Leeds 085,4,Household is deprived in three dimensions,243
E02002414,Leeds 085,5,Household is deprived in four dimensions,20
E02002415,Leeds 086,-8,Does not apply,0
E02002415,Leeds 086,1,Household is not deprived in any dimension,702
E02002415,Leeds 086,2,Household is deprived in one dimension,1106
E02002415,Leeds 086,3,Household is deprived in two dimensions,598
E02002415,Leeds 086,4,Household is deprived in three dimensions,277
E02002415,Leeds 086,5,Household is deprived in four dimensions,31
E02002416,Leeds 087,-8,Does not apply,0
E02002416,Leeds 087,1,Household is not deprived in any dimension,1422
